epoch,train_loss,train_acc,val_loss,val_acc
1,4.68165786780563,0.026470588286425553,4.3532105819851745,0.06274509830217735
2,4.007300168392705,0.09901960889498393,3.921923707513248,0.09411764705882353
3,3.5255677428900025,0.15686274614988588,3.4973327047684615,0.16176470602844276
4,3.1439028235042796,0.21764705934945275,3.3900521427977317,0.19019607889885995
5,2.802598424986297,0.2764705890533971,3.2139150825201295,0.2137254906051299
6,2.5488528120751472,0.3578431381898768,3.1766046234205656,0.23235294158552208
7,2.3889066144531848,0.379411765757729,3.0198341042387717,0.251960784722777
8,2.165117020700492,0.4225490201922024,2.9148885811076446,0.27843137354243036
9,1.951405169917088,0.4705882363459643,2.885142817216761,0.30392156897806655
10,1.822883960312488,0.5254901972471498,2.8255644779579314,0.3127450980392157
11,1.610208454319075,0.5696078459421794,2.7549250041737277,0.3323529426958047
12,1.4996401651232851,0.6117647069341996,2.7642487563338936,0.34215686274509804
13,1.3272207694895126,0.6470588263343362,2.828944979461969,0.3098039226204741
14,1.2569141584284165,0.6343137285288643,2.7974907192529415,0.346078432190652
15,1.1657452919903923,0.6862745119076149,2.908427490907557,0.3303921581483355
16,1.1285358358831967,0.6872549040644776,2.83276047706604,0.33725490219452803
17,0.9598208813106313,0.7490196113492928,2.743033027648926,0.3568627463836296
18,0.8723459444794001,0.7686274544865477,2.7759507282107485,0.3568627463836296
19,0.7763597948878419,0.8049019624205197,2.883338841269998,0.3490196086612402
20,0.7093104058620976,0.8205882369303236,2.732660981720569,0.36960784465658897
21,0.6444420519997092,0.8539215716661192,2.796017057755414,0.39019607901573183
22,0.5851546177677079,0.8696078443059734,2.696427348080803,0.39901960831062466
23,0.5081536358478023,0.8882352971563152,2.7258682811961457,0.38529411764705884
24,0.43733048894826104,0.9166666711077971,2.7310564059837192,0.40000000081810294
25,0.3908524370660969,0.9303921580314636,2.738139289033179,0.41078431512795244
26,0.32000111037609624,0.9490196090118558,2.7406965498830758,0.40196078583305955
27,0.2988407281683941,0.9529411809117186,2.7650262075311995,0.40490196218677593
28,0.29539025484346876,0.9607843174653895,2.7850680987040204,0.41960784372161414
29,0.2643653938583299,0.9558823573823069,2.779397408167521,0.39411764776005465
30,0.23142956390100367,0.9745098083626991,2.9642711770300774,0.38725490266201545
