epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,4.056990678637636,0.2019607847812129,2.355046179715325,0.5176470604597353,0.0001,0.003
2,1.599729022325254,0.7039215690949384,1.1544456425835103,0.749019608778112,9.972609476841367e-05,0.00299178284305241
3,0.6210404365670448,0.9098039225036023,0.7872862656911214,0.8411764715232101,9.890738003669029e-05,0.0029672214011007086
4,0.23400256861658658,0.9833333333333333,0.581050322336309,0.8784313744189692,9.755282581475769e-05,0.0029265847744427307
5,0.1153188724436012,0.996078431372549,0.49826909806214126,0.8931372553694482,9.567727288213003e-05,0.0028703181864639014
6,0.05699694847651556,1.0,0.4367067395472059,0.9039215690949384,9.330127018922194e-05,0.0027990381056766586
7,0.03935967001552675,0.9980392156862745,0.4147258388645509,0.9068627455655266,9.045084971874738e-05,0.0027135254915624215
8,0.027762919196895525,1.0,0.4009231884689892,0.9039215690949384,8.715724127386972e-05,0.0026147172382160913
9,0.019033119597417467,1.0,0.3801866318665299,0.908823530814227,8.345653031794292e-05,0.0025036959095382874
10,0.01745578145206559,1.0,0.3776921319026573,0.9137254911310533,7.938926261462366e-05,0.00238167787843871
11,0.013676857020632894,1.0,0.37642262741631155,0.9068627455655266,7.500000000000001e-05,0.0022500000000000003
12,0.011126134792963665,1.0,0.36205516066036975,0.912745098506703,7.033683215379003e-05,0.0021101049646137008
13,0.009604019850638567,1.0,0.350837577791775,0.9196078440722297,6.545084971874738e-05,0.0019635254915624217
14,0.008626124089328098,1.0,0.34856812930574604,0.9176470592910169,6.039558454088797e-05,0.0018118675362266393
15,0.008007855866761768,1.0,0.34963223653681136,0.9156862749772914,5.522642316338269e-05,0.0016567926949014808
16,0.007156893316948531,1.0,0.3517035164085089,0.9127450989741905,5.000000000000002e-05,0.0015000000000000007
17,0.006861157273398895,1.0,0.33679438981355403,0.9205882357616051,4.4773576836617344e-05,0.0013432073050985204
18,0.005904891908022703,1.0,0.33522353102179137,0.9186274514478796,3.9604415459112035e-05,0.001188132463773361
19,0.0060653288008681696,1.0,0.3302451660820082,0.9205882362290925,3.4549150281252636e-05,0.001036474508437579
20,0.006022241897881031,1.0,0.33627929839433407,0.9176470597585042,2.966316784621e-05,0.0008898950353862999
21,0.005291608974848892,1.0,0.3338194619206821,0.9137254906635658,2.5000000000000015e-05,0.0007500000000000003
22,0.004924408008581868,1.0,0.3392260597032659,0.9137254906635658,2.0610737385376352e-05,0.0006183221215612905
23,0.0046477895166140565,1.0,0.3339479731578453,0.9176470592910169,1.654346968205711e-05,0.0004963040904617131
24,0.00517725920779448,1.0,0.33486867780778923,0.9147058828204286,1.2842758726130304e-05,0.000385282761783909
25,0.005344130716049203,1.0,0.33428777935458165,0.912745098506703,9.549150281252636e-06,0.00028647450843757903
26,0.004858493688059788,1.0,0.33207370568724237,0.9186274514478796,6.698729810778068e-06,0.000200961894323342
27,0.004819349688934345,1.0,0.33628647794910504,0.9127450989741905,4.322727117869953e-06,0.00012968181353609857
28,0.004782692474477431,1.0,0.33488082874055003,0.9137254911310533,2.447174185242324e-06,7.341522555726972e-05
29,0.004653100870257499,1.0,0.3300193785452375,0.914705883287916,1.092619963309716e-06,3.277859889929148e-05
30,0.00492870176174477,1.0,0.3382807306214875,0.9156862759122661,2.7390523158633003e-07,8.217156947589901e-06
