run,lr_head,lr_backbone,epochs,best_val_acc,test_acc,test_loss,duration_sec
grid_h5e-4_b3e-5,0.0005,3e-05,30,0.9088235298792521,0.8798178565620426,0.5500679674682084,132.10370802879333
grid_h5e-4_b1e-4,0.0005,0.0001,30,0.9107843141929776,0.8923402179216132,0.47036454297940233,131.33964681625366
grid_h5e-4_b3e-4,0.0005,0.0003,30,0.9176470592910169,0.891689705643194,0.4577319882207308,133.0550513267517
grid_h1e-3_b3e-5,0.001,3e-05,30,0.9039215690949384,0.8781915758659945,0.521760573987191,132.26725506782532
grid_h1e-3_b1e-4,0.001,0.0001,30,0.9147058828204286,0.8920149617824037,0.4452927465242988,132.59944486618042
grid_h1e-3_b3e-4,0.001,0.0003,30,0.9166666671341541,0.8928281021304277,0.4261965035188414,132.06341338157654
grid_h3e-3_b3e-5,0.003,3e-05,30,0.9009803926243501,0.8806309969100666,0.4716957082666286,132.09379029273987
grid_h3e-3_b1e-4,0.003,0.0001,30,0.9186274514478796,0.8920149617824037,0.4265391655745805,133.60980319976807
grid_h3e-3_b3e-4,0.003,0.0003,30,0.9166666676016415,0.8908765652951699,0.4205222716300548,133.37573385238647
