epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,4.145852718166276,0.17843137313337887,2.548741145694957,0.46372549183228434,0.0001,0.003
2,1.7796095088416455,0.6558823543436387,1.2897472091749602,0.7235294134009118,9.972609476841367e-05,0.00299178284305241
3,0.7028206692022436,0.8960784327750112,0.9099925716718038,0.8068627465005015,9.890738003669029e-05,0.0029672214011007086
4,0.2857551751767888,0.9764705882352941,0.6845892705169379,0.8549019614855449,9.755282581475769e-05,0.0029265847744427307
5,0.1305440163203314,0.9941176470588236,0.5641445494165608,0.88039215779772,9.567727288213003e-05,0.0028703181864639014
6,0.06366593342493562,0.9990196078431373,0.5345954320010017,0.8745098057915183,9.330127018922194e-05,0.0027990381056766586
7,0.04305935509356798,1.0,0.4924043254525054,0.8931372553694482,9.045084971874738e-05,0.0027135254915624215
8,0.027144916662398506,1.0,0.4851948879513086,0.8735294131671681,8.715724127386972e-05,0.0026147172382160913
9,0.01947994864016187,1.0,0.458082036411061,0.8882352950526219,8.345653031794292e-05,0.0025036959095382874
10,0.01708367266053078,1.0,0.44782001750141964,0.8843137273601457,7.938926261462366e-05,0.00238167787843871
11,0.013976704139335482,1.0,0.4530291393691418,0.8813725504220701,7.500000000000001e-05,0.0022500000000000003
12,0.012369289924847145,1.0,0.4445052684522143,0.8872549028957591,7.033683215379003e-05,0.0021101049646137008
13,0.010099503929343294,1.0,0.4297568452124502,0.8872549038307339,6.545084971874738e-05,0.0019635254915624217
14,0.008745838964686675,1.0,0.4254253815202152,0.8901960798338348,6.039558454088797e-05,0.0018118675362266393
15,0.008062650884191195,1.0,0.43013627365523693,0.8872549028957591,5.522642316338269e-05,0.0016567926949014808
16,0.007318828265894862,1.0,0.4276482405615788,0.889215687676972,5.000000000000002e-05,0.0015000000000000007
17,0.00653916597366333,1.0,0.4230466837976493,0.8911764719906975,4.4773576836617344e-05,0.0013432073050985204
18,0.00620722759186345,1.0,0.4157582771544363,0.893137256304423,3.9604415459112035e-05,0.001188132463773361
19,0.005599929766692951,1.0,0.40975191499672686,0.899019608778112,3.4549150281252636e-05,0.001036474508437579
20,0.005460034754565533,1.0,0.41539297407748654,0.8931372558369356,2.966316784621e-05,0.0008898950353862999
21,0.005236034528078402,1.0,0.4123338701093898,0.8882352950526219,2.5000000000000015e-05,0.0007500000000000003
22,0.005020350223297582,1.0,0.4179828041324429,0.8882352950526219,2.0610737385376352e-05,0.0006183221215612905
23,0.004953711641514126,1.0,0.41041108252955416,0.8911764710557227,1.654346968205711e-05,0.0004963040904617131
24,0.005279423090099704,1.0,0.41083811246881297,0.8911764715232101,1.2842758726130304e-05,0.000385282761783909
25,0.004962758106343886,1.0,0.410659853851094,0.8931372553694482,9.549150281252636e-06,0.00028647450843757903
26,0.004902744872093785,1.0,0.4125249744045968,0.8941176479937983,6.698729810778068e-06,0.000200961894323342
27,0.0045747551227024955,1.0,0.41644888742297304,0.8921568632125855,4.322727117869953e-06,0.00012968181353609857
28,0.004422820547559098,1.0,0.41477820195403753,0.8950980401506611,2.447174185242324e-06,7.341522555726972e-05
29,0.004424078680355759,1.0,0.4079915757272758,0.8970588244643866,1.092619963309716e-06,3.277859889929148e-05
30,0.004419353898322465,1.0,0.4208467559487212,0.8882352950526219,2.7390523158633003e-07,8.217156947589901e-06
