epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,4.671892708423091,0.03039215695039899,4.138448687160716,0.05882352945559165,0.0001,0.001
2,3.8485021226546343,0.09313725513570449,3.84842667018666,0.11372549066356584,0.0001,0.001
3,3.4253429936427695,0.1509803922737346,3.49624922135297,0.15490196078431373,0.0001,0.001
4,3.032617244533464,0.23627451027140897,3.2988810688841577,0.19607843184003643,0.0001,0.001
5,2.740821751426248,0.2852941176470588,3.255361058665257,0.21568627459745782,0.0001,0.001
6,2.5456099893532547,0.3401960791326037,3.139699776032392,0.24803921586158229,0.0001,0.001
7,2.3278915246327716,0.3892156865082535,3.074486790451349,0.2647058823529412,0.0001,0.001
8,2.2436635475532682,0.39901960807688097,3.0827488473817413,0.2833333333333333,0.0001,0.001
9,2.073541543530483,0.4235294126996807,2.950224914737776,0.3127450989741905,0.0001,0.001
10,1.8704216031467213,0.48627451003766525,2.926375245112999,0.2941176471756954,0.0001,0.001
11,1.7811714602451698,0.5009803930918376,2.7714780643874524,0.33137254948709527,0.0001,0.001
12,1.6382045853371714,0.5225490200753306,2.8810793254889693,0.3401960791326037,0.0001,0.001
13,1.5227678289600448,0.5627450992079343,2.8369959092607684,0.34215686274509804,0.0001,0.001
14,1.4267686081867592,0.5843137259576835,2.795855720837911,0.34803921685499306,0.0001,0.001
15,1.357492610987495,0.5990196080768809,2.8843439167621088,0.3303921568627451,0.0001,0.001
16,1.26859658091676,0.6274509817946191,2.8441667238871258,0.3588235294117647,0.0001,0.001
17,1.068576764826681,0.6843137268926583,2.8798379963519527,0.3607843148942087,0.0001,0.001
18,1.0132508408789542,0.7,2.852193914675245,0.364705883287916,0.0001,0.001
19,0.9073570489883422,0.7225490203090742,2.797464875613942,0.3735294131671681,0.0001,0.001
20,0.8894741799317154,0.7372549035969902,2.8016968773860556,0.39019607901573183,0.0001,0.001
21,0.8589417796508939,0.7343137266589146,2.889286401225071,0.3872549033632465,0.0001,0.001
22,0.8201871203441246,0.7607843141929777,2.950419870077395,0.37745098097651614,0.0001,0.001
23,0.7883311122071509,0.7745098057915183,2.93705400205126,0.37647058917026893,0.0001,0.001
24,0.5952368397338718,0.8411764717569539,2.701080529830035,0.42549019666279064,0.0001,0.001
25,0.5722544113794963,0.8343137273601458,2.792444076725081,0.4117647064667122,0.0001,0.001
26,0.5325583427560096,0.8578431391248516,2.689097176346124,0.4245098041553123,0.0001,0.001
27,0.49451303306747885,0.8774509817946191,2.931489045012231,0.40490196148554486,0.0001,0.001
28,0.5508739057709189,0.8411764722244413,3.1520654386165097,0.3784313731333789,0.0001,0.001
29,0.4669364882450478,0.8803921587326947,3.003710838392669,0.3843137264251709,0.0001,0.001
30,0.4486750081473706,0.8794117658746009,2.894292864145017,0.4313725499545827,0.0001,0.001
