epoch,train_loss,train_acc,val_loss,val_acc
1,4.33729224766002,0.11666666701728222,3.3433257411508,0.4107843150110806
2,2.4224715008455164,0.6921568660175099,1.938021795422423,0.6745098067264931
3,1.2557476408341353,0.8823529442151388,1.3045321431814456,0.7960784346449609
4,0.6266322107876048,0.9588235305804832,1.0375522276934455,0.8196078464096668
5,0.31066597594934353,0.9921568671862284,0.8488556953037486,0.8823529442151388
6,0.17128992928009407,0.9980392156862745,0.7208417607288734,0.8823529425789328
7,0.11265314116197474,1.0,0.6738456999554353,0.874509806025262
8,0.07980914587775866,1.0,0.6199520601945765,0.8941176500974917
9,0.05908683228726481,1.0,0.5883147050352657,0.8921568648487914
10,0.0473791720236049,1.0,0.5802416476548887,0.8941176491625169
11,0.03533475622534752,1.0,0.5495153618793861,0.8950980431893293
12,0.029033483199629128,1.0,0.531213519152473,0.8990196108818054
13,0.023834151898821196,1.0,0.5151393165775374,0.8990196108818054
14,0.020601772319744614,1.0,0.5115828497737062,0.9019607873523936
15,0.019386222797865962,1.0,0.5071205641709122,0.8980392187249426
16,0.016404942861374686,1.0,0.49434679828438105,0.9009803942605561
17,0.01432919736732455,1.0,0.4846585877970153,0.8960784344112172
18,0.01364518104522836,1.0,0.482529500652762,0.8970588265680799
19,0.011619075599546527,1.0,0.4663641477332396,0.9019607882873685
20,0.010933412279130196,1.0,0.46213034274531345,0.9049019628880071
21,0.00997981979493417,1.0,0.45630663598285004,0.9039215716661192
22,0.00871074431594096,1.0,0.4512496210780798,0.9068627472017325
23,0.0080158056052146,1.0,0.4521528497630475,0.9078431393585953
24,0.007428446470522413,1.0,0.43863116491074655,0.9098039236723208
25,0.007186927034647441,1.0,0.44025129664177987,0.9068627472017325
26,0.006818314159617704,1.0,0.4347778987650778,0.9078431393585953
27,0.006019098395664318,1.0,0.4289559638967701,0.9107843158291835
28,0.006092987562000167,1.0,0.4266301582841312,0.9117647079860463
29,0.005342065597720006,1.0,0.4274384339650472,0.9117647079860463
30,0.005209075009413794,1.0,0.4264785684791266,0.9098039236723208
