epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,4.086054781371472,0.2196078436047423,2.007933228156146,0.518627451915367,0.0001,0.003
2,1.0504736597631492,0.79019607889886,0.9542947738778358,0.7774509817946191,0.0001,0.003
3,0.3284079589972309,0.9480392156862745,0.6776282527867485,0.8441176489287732,0.0001,0.003
4,0.13429777633910087,0.9852941176470589,0.5772831376861124,0.8666666671341541,0.0001,0.003
5,0.05798253145288019,0.9990196078431373,0.48033734104212594,0.8862745107388964,0.0001,0.003
6,0.03450412865655095,0.9990196078431373,0.45683499820092144,0.8931372553694482,0.0001,0.003
7,0.023543853057073613,0.9990196078431373,0.46327682067366205,0.8911764715232101,0.0001,0.003
8,0.018642017990350722,1.0,0.42605988570288117,0.8931372558369356,0.0001,0.003
9,0.013864720799028873,1.0,0.42106718204769433,0.9009803926243501,0.0001,0.003
10,0.01113925085713466,1.0,0.4098152422437481,0.9078431377223893,0.0001,0.003
11,0.008158911454180877,1.0,0.3937420223273483,0.9107843141929776,0.0001,0.003
12,0.007560665695471506,1.0,0.3921902674670313,0.9088235298792521,0.0001,0.003
13,0.006582680871418002,1.0,0.3862163677519443,0.9058823534086639,0.0001,0.003
14,0.005753883779706324,1.0,0.3937399445211186,0.9098039220361148,0.0001,0.003
15,0.005322037136876115,1.0,0.3863905405881358,0.9107843141929776,0.0001,0.003
16,0.004204173059220992,1.0,0.37806696973594967,0.912745098506703,0.0001,0.003
17,0.003466338734599013,1.0,0.37883853468240475,0.9088235298792521,0.0001,0.003
18,0.003847129208346208,1.0,0.37836099050792993,0.9078431377223893,0.0001,0.003
19,0.0028628040762508616,1.0,0.3666764787599152,0.9137254906635658,0.0001,0.003
20,0.0028026929106928556,1.0,0.3783827106742298,0.9117647063498403,0.0001,0.003
21,0.002733578869853826,1.0,0.3716916630665461,0.9098039220361148,0.0001,0.003
22,0.002573772855833465,1.0,0.36854992397859987,0.910784314660465,0.0001,0.003
23,0.002611079987814175,1.0,0.37112569949206187,0.912745098506703,0.0001,0.003
24,0.001990839430843206,1.0,0.35714906775483896,0.912745098506703,0.0001,0.003
25,0.0021013457401126037,1.0,0.3595099572457519,0.912745098506703,0.0001,0.003
26,0.0020145276031803853,1.0,0.35402376996535884,0.9166666671341541,0.0001,0.003
27,0.001834955751695031,1.0,0.35745476992691266,0.9088235298792521,0.0001,0.003
28,0.001568225200068863,1.0,0.35407706937369177,0.9156862749772914,0.0001,0.003
29,0.001536707550871606,1.0,0.3512088560590557,0.9137254906635658,0.0001,0.003
30,0.001429924076678706,1.0,0.3477570271959492,0.9186274514478796,0.0001,0.003
