epoch,train_loss,train_acc,val_loss,val_acc
1,4.409916896446078,0.10588235446051056,3.779144125358731,0.37156862873657076
2,3.2182373074924246,0.6137254939359778,2.7232835891200047,0.5647058837554034
3,2.2388073486440323,0.7568627460330141,2.0347644604888617,0.6803921584989511
4,1.489341464697146,0.8529411802104875,1.6231152875750672,0.7539215695624258
5,0.9487104240585776,0.932352945617601,1.2746076504389445,0.8147058853916094
6,0.5629823126044928,0.9676470616284538,1.0049631413291482,0.8372549033632466
7,0.3221639976781957,0.9882352941176471,0.9050020353466857,0.8568627483704511
8,0.18748943881661284,0.996078431372549,0.788114471762788,0.8558823562135883
9,0.11205930908521017,1.0,0.7035091563767077,0.8666666690041037
10,0.07752537829618827,1.0,0.6637507179204155,0.8735294150371178
11,0.05434196702405518,1.0,0.6391084589210211,0.8578431414622887
12,0.04376509790034855,1.0,0.5952345396958145,0.8735294141021429
13,0.03378735799707618,1.0,0.5805543957972059,0.876470591507706
14,0.026564290498693785,1.0,0.5673649103033777,0.8754901974808936
15,0.022781532856763577,1.0,0.5624178365165112,0.8784313758214315
16,0.019149820481007006,1.0,0.54281444198945,0.880392160135157
17,0.016471299441421734,1.0,0.5326476223328535,0.8794117661083446
18,0.014377315382601,1.0,0.5293096906998578,0.8813725522920197
19,0.012635179568885588,1.0,0.5196636313316869,0.8803921592001821
20,0.011956237767841302,1.0,0.5161123067724939,0.8794117679782942
21,0.010177464341269989,1.0,0.5028778498079263,0.8813725522920197
22,0.009112176916324625,1.0,0.5062655580978768,0.8852941209194707
23,0.008963868436494878,1.0,0.49493840745851103,0.8794117670433194
24,0.008221190338771717,1.0,0.49485899408658346,0.8862745121413587
25,0.007253224486667736,1.0,0.4870856046676636,0.8892156886119469
26,0.006609258234646974,1.0,0.4856177902689167,0.8833333356707704
27,0.006243551949806073,1.0,0.48333510698056686,0.8872549042982214
28,0.006139678115426909,1.0,0.4818511668373557,0.8882352964550841
29,0.005258865674555886,1.0,0.47486894130706786,0.8892156895469217
30,0.004786650564375461,1.0,0.4723810675097447,0.8892156886119469
